size,algorithm,seed,generation,best_fitness
small,GA,7,13,898.095197834515
small,GA,7,14,898.095197834515
small,GA,7,15,898.095197834515
small,GA,7,16,898.095197834515
small,GA,7,17,898.095197834515
small,GA,7,18,898.095197834515
small,GA,7,19,898.095197834515
small,GA,7,20,898.095197834515
small,GA,7,21,898.095197834515
small,GA,7,22,898.095197834515
small,GA,7,23,898.095197834515
small,GA,7,24,898.095197834515
small,GA,7,25,898.095197834515
small,GA,7,26,898.095197834515
small,GA,7,27,898.095197834515
small,GA,7,28,898.095197834515
small,GA,7,29,898.095197834515
small,GA,7,30,898.095197834515
small,GA,7,31,898.095197834515
small,GA,7,32,898.095197834515
small,GA,7,33,898.095197834515
small,GA,7,34,898.095197834515
small,GA,7,35,898.095197834515
small,GA,7,36,898.095197834515
small,GA,7,37,898.095197834515
small,GA,7,38,898.095197834515
small,GA,7,39,898.095197834515
small,GA,7,40,898.095197834515
small,GA,7,41,898.095197834515
small,GA,7,42,898.095197834515
small,GA,7,43,898.095197834515
small,GA,7,44,898.095197834515
small,GA,7,45,897.5719522335569
small,GA,7,46,897.5719522335569
small,GA,7,47,897.5719522335569
small,GA,7,48,896.8605075758836
small,GA,7,49,896.8605075758836
small,GA,8,0,940.0510743961552
small,GA,8,1,940.0510743961552
small,GA,8,2,893.9436358924804
small,GA,8,3,893.9436358924804
small,GA,8,4,893.9436358924804
small,GA,8,5,893.7750124160185
small,GA,8,6,893.7750124160185
small,GA,8,7,892.4901189686288
small,GA,8,8,892.4901189686288
small,GA,8,9,890.4679920324173
small,GA,8,10,860.2887896367116
small,GA,8,11,860.2887896367116
small,GA,8,12,857.6932139107837
small,GA,8,13,857.6932139107837
small,GA,8,14,857.6932139107837
small,GA,8,15,857.6932139107837
small,GA,8,16,857.6932139107837
small,GA,8,17,857.6932139107837
small,GA,8,18,857.6932139107837
small,GA,8,19,857.6932139107837
small,GA,8,20,857.6932139107837
small,GA,8,21,857.6932139107837
small,GA,8,22,857.6932139107837
small,GA,8,23,803.3781040862525
small,GA,8,24,803.3781040862525
small,GA,8,25,803.3781040862525
small,GA,8,26,803.3781040862525
small,GA,8,27,803.3781040862525
small,GA,8,28,803.3781040862525
small,GA,8,29,803.3781040862525
small,GA,8,30,803.3781040862525
small,GA,8,31,803.3781040862525
small,GA,8,32,803.3781040862525
small,GA,8,33,803.3781040862525
small,GA,8,34,803.3781040862525
small,GA,8,35,803.3781040862525
small,GA,8,36,803.3781040862525
small,GA,8,37,803.3781040862525
small,GA,8,38,803.3781040862525
small,GA,8,39,803.3781040862525
small,GA,8,40,803.3781040862525
small,GA,8,41,803.3781040862525
small,GA,8,42,803.3781040862525
small,GA,8,43,803.3781040862525
small,GA,8,44,803.3781040862525
small,GA,8,45,803.3781040862525
small,GA,8,46,803.3781040862525
small,GA,8,47,803.3781040862525
small,GA,8,48,803.3781040862525
small,GA,8,49,803.3781040862525
small,GA,9,0,1070.6461674246332
small,GA,9,1,1055.7284108324482
small,GA,9,2,1055.7284108324482
small,GA,9,3,1055.7284108324482
small,GA,9,4,1015.2694618485465
small,GA,9,5,1015.2694618485465
small,GA,9,6,889.0583029191188
small,GA,9,7,887.6591124509939
small,GA,9,8,887.6591124509939
small,GA,9,9,884.9255408571091
small,GA,9,10,884.774732777848
small,GA,9,11,879.1904198038611
small,GA,9,12,878.667174202903
small,GA,9,13,878.667174202903
small,GA,9,14,878.667174202903
small,GA,9,15,878.667174202903
small,GA,9,16,878.667174202903
small,GA,9,17,877.9557295452297
small,GA,9,18,877.9557295452297
small,GA,9,19,877.9557295452297
small,GA,9,20,877.9557295452297
small,GA,9,21,877.9557295452297
small,GA,9,22,877.9557295452297
small,GA,9,23,877.9557295452297
small,GA,9,24,877.9557295452297
small,GA,9,25,877.9557295452297
small,GA,9,26,877.9557295452297
small,GA,9,27,877.9557295452297
small,GA,9,28,877.9557295452297
small,GA,9,29,877.9557295452297
small,GA,9,30,877.9557295452297
small,GA,9,31,877.9557295452297
small,GA,9,32,762.7300782658065
small,GA,9,33,762.7300782658065
small,GA,9,34,762.7300782658065
small,GA,9,35,762.7300782658065
small,GA,9,36,762.7300782658065
small,GA,9,37,762.7300782658065
small,GA,9,38,762.7300782658065
small,GA,9,39,762.7300782658065
small,GA,9,40,762.7300782658065
small,GA,9,41,762.7300782658065
small,GA,9,42,762.7300782658065
small,GA,9,43,762.7300782658065
small,GA,9,44,762.7300782658065
small,GA,9,45,762.7300782658065
small,GA,9,46,762.7300782658065
small,GA,9,47,762.7300782658065
small,GA,9,48,762.7300782658065
small,GA,9,49,762.7300782658065
small,SA,0,0,2290.078553927029
small,SA,0,1,1476.299322887192
small,SA,0,2,856.673561431631
small,SA,0,3,807.520668518645
small,SA,0,4,791.8915460020698
small,SA,0,5,671.7556269572751
small,SA,0,6,671.7556269572751
small,SA,0,7,671.7556269572751
small,SA,0,8,598.0145338997498
small,SA,0,9,524.6634253223486
small,SA,0,10,524.6634253223486
small,SA,0,11,524.6634253223486
small,SA,0,12,524.6634253223486
small,SA,0,13,524.6634253223486
small,SA,0,14,524.5126172430876
small,SA,0,15,524.5126172430876
small,SA,0,16,524.5126172430876
small,SA,0,17,524.5126172430876
small,SA,0,18,524.5126172430876
small,SA,0,19,524.5126172430876
small,SA,0,20,524.5126172430876
small,SA,0,21,524.5126172430876
small,SA,0,22,524.5126172430876
small,SA,0,23,524.5126172430876
small,SA,0,24,524.5126172430876
small,SA,0,25,524.5126172430876
small,SA,0,26,524.5126172430876
small,SA,0,27,524.5126172430876
small,SA,0,28,524.5126172430876
small,SA,0,29,524.5126172430876
small,SA,0,30,524.4582907873607
small,SA,0,31,524.4582907873607
small,SA,0,32,524.4582907873607
small,SA,0,33,524.4582907873607
small,SA,0,34,524.4582907873607
small,SA,0,35,524.4582907873607
small,SA,0,36,524.4582907873607
small,SA,0,37,524.4582907873607
small,SA,0,38,524.4582907873607
small,SA,0,39,524.4582907873607
small,SA,0,40,524.4582907873607
small,SA,0,41,524.4582907873607
small,SA,0,42,524.4582907873607
small,SA,0,43,524.4582907873607
small,SA,0,44,524.4582907873607
small,SA,0,45,524.4582907873607
small,SA,0,46,524.4582907873607
small,SA,0,47,524.4582907873607
small,SA,0,48,524.4582907873607
small,SA,0,49,524.4582907873607
small,SA,1,0,1798.8027834846694
small,SA,1,1,1605.0815387619864
small,SA,1,2,1366.8651487125549
small,SA,1,3,1366.8651487125549
small,SA,1,4,1304.728371337593
small,SA,1,5,1304.728371337593
small,SA,1,6,1304.728371337593
small,SA,1,7,1304.728371337593
small,SA,1,8,1300.2190800756584
small,SA,1,9,1300.2190800756584
small,SA,1,10,1300.2190800756584
small,SA,1,11,1300.2190800756584
small,SA,1,12,856.2376819578765
small,SA,1,13,855.0118521665631
small,SA,1,14,855.0118521665631
small,SA,1,15,855.0118521665631
small,SA,1,16,855.0118521665631
small,SA,1,17,855.0118521665631
small,SA,1,18,849.7911162469552
small,SA,1,19,740.7638944110215
small,SA,1,20,695.5326371963105
small,SA,1,21,641.6540901785239
small,SA,1,22,641.6540901785239
small,SA,1,23,640.9426455208506
small,SA,1,24,640.9426455208506
small,SA,1,25,640.9426455208506
small,SA,1,26,640.9426455208506
small,SA,1,27,640.9426455208506
small,SA,1,28,640.9426455208506
small,SA,1,29,640.9426455208506
small,SA,1,30,640.9426455208506
small,SA,1,31,640.9426455208506
small,SA,1,32,640.9426455208506
small,SA,1,33,640.9426455208506
small,SA,1,34,640.9426455208506
small,SA,1,35,640.9426455208506
small,SA,1,36,640.9426455208506
small,SA,1,37,640.9426455208506
small,SA,1,38,640.9426455208506
small,SA,1,39,640.9426455208506
small,SA,1,40,640.9426455208506
small,SA,1,41,640.9426455208506
small,SA,1,42,640.9426455208506
small,SA,1,43,640.9426455208506
small,SA,1,44,640.9426455208506
small,SA,1,45,640.9426455208506
small,SA,1,46,640.9426455208506
small,SA,1,47,640.9426455208506
